,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
1857,LK08FND,Uxbridge High School,2018-11-10 21:36:46+00:00,Brunel University,2018-11-10 21:38:37+00:00,590,no,Night,bus,10.01,0.93,0.73,8.72,yes,yes,0.85
4170,YX10BFF,Uxbridge High School,2018-11-10 21:56:00+00:00,Brunel University,2018-11-10 21:57:09+00:00,590,no,Night,bus,10.02,0.93,0.89,8.29,yes,no,0.15
4620,YX10BFM,Huxley Close,2018-11-10 23:33:01+00:00,Brunel University,2018-11-10 23:33:39+00:00,530,no,Night,bus,9.97,0.94,0.75,8.29,yes,yes,-0.36666666666666664
1882,LK08FND,Huxley Close,2018-11-11 00:26:22+00:00,Brunel University,2018-11-11 00:27:01+00:00,530,no,Night,bus,9.93,0.93,0.74,8.61,yes,yes,-0.35
852,LK08FLD,Huxley Close,2018-11-11 13:35:21+00:00,Brunel University,2018-11-11 13:36:35+00:00,530,no,Afternoon,bus,13.06,0.67,0.37,10.01,yes,yes,0.23333333333333334
4257,YX10BFK,Huxley Close,2018-11-11 14:37:15+00:00,Brunel University,2018-11-11 14:38:03+00:00,535,no,Afternoon,bus,12.84,0.67,0.89,10.01,yes,yes,-0.2
1218,LK08FLE,Huxley Close,2018-11-11 15:13:14+00:00,Brunel University,2018-11-11 15:14:09+00:00,530,no,Afternoon,bus,12.59,0.68,0.21,10.01,yes,yes,-0.08333333333333333
2559,LK16DDX,Huxley Close,2018-11-11 16:18:30+00:00,Brunel University,2018-11-11 16:19:45+00:00,530,no,Afternoon,bus,11.48,0.74,0.19,10.01,yes,no,0.25
1174,LK08FLE,Huxley Close,2018-11-11 17:14:54+00:00,Brunel University,2018-11-11 17:15:37+00:00,530,no,Afternoon,bus,10.61,0.78,0.19,10.01,yes,yes,-0.2833333333333333
1187,LK08FLE,Uxbridge High School,2018-11-11 17:51:31+00:00,Brunel University,2018-11-11 17:53:16+00:00,590,no,Afternoon,bus,10.23,0.8,0.19,10.01,yes,yes,0.75
1112,LK08FLD,St Laurence Church,2018-11-11 21:05:13+00:00,Brunel University,2018-11-11 21:06:32+00:00,685,no,Night,bus,9.12,0.86,0.21,10.01,yes,yes,0.31666666666666665
3306,LK65EAA,Huxley Close,2018-11-11 21:47:49+00:00,Brunel University,2018-11-11 21:48:01+00:00,530,no,Night,bus,9.18,0.87,0.37,10.01,yes,yes,-0.8
3986,YX10BFA,Uxbridge High School,2018-11-11 22:58:24+00:00,Brunel University,2018-11-11 23:00:13+00:00,590,no,Night,bus,9.27,0.92,0.89,10.01,yes,yes,0.8166666666666667
1065,LK08FLD,Uxbridge High School,2018-11-11 23:20:06+00:00,Brunel University,2018-11-11 23:22:12+00:00,590,no,Night,bus,9.53,0.9,0.74,10.01,yes,no,1.1
3318,LK65EAA,Uxbridge High School,2018-11-11 23:57:05+00:00,Brunel University,2018-11-11 23:58:17+00:00,590,no,Night,bus,9.92,0.88,0.55,10.01,yes,yes,0.2
3214,LK16DFC,St Laurence Church,2018-11-12 09:21:12+00:00,Brunel University,2018-11-12 09:23:39+00:00,885,no,Morning,bus,10.72,0.91,0.37,10.01,no,no,1.45
3411,LK65EAM,Uxbridge High School,2018-11-12 09:46:53+00:00,Brunel University,2018-11-12 09:48:01+00:00,590,no,Morning,bus,10.9,0.86,0.35,10.01,no,no,0.13333333333333333
2918,LK16DEU,Uxbridge High School,2018-11-12 10:35:31+00:00,Brunel University,2018-11-12 10:37:20+00:00,590,no,Morning,bus,12.09,0.81,0.31,10.01,no,no,0.8166666666666667
4080,YX10BFE,Uxbridge High School,2018-11-12 11:25:04+00:00,Brunel University,2018-11-12 11:26:38+00:00,590,no,Morning,bus,13.28,0.77,0.89,10.01,no,no,0.5666666666666667
2162,LK16DDL,Uxbridge High School,2018-11-12 12:12:21+00:00,Brunel University,2018-11-12 12:14:18+00:00,590,no,Afternoon,bus,13.89,0.75,0.46,10.01,no,yes,0.95
2127,LK16DDL,Uxbridge High School,2018-11-12 14:20:28+00:00,Brunel University,2018-11-12 14:22:49+00:00,590,no,Afternoon,bus,13.24,0.73,0.34,10.01,no,yes,1.35
1771,LK08FND,Uxbridge High School,2018-11-12 15:13:28+00:00,Brunel University,2018-11-12 15:14:56+00:00,590,no,Afternoon,bus,12.6,0.74,0.33,10.01,no,no,0.4666666666666667
3638,SN09CFY,Huxley Close,2018-11-12 18:57:05+00:00,Brunel University,2018-11-12 18:59:46+00:00,530,yes,Evening,bus,10.89,0.82,0.23,10.01,no,yes,1.6833333333333333
4206,YX10BFF,Uxbridge High School,2018-11-12 20:58:11+00:00,Brunel University,2018-11-12 21:00:12+00:00,590,yes,Night,bus,9.93,0.87,0.89,10.01,no,yes,1.0166666666666666
2228,LK16DDN,Uxbridge High School,2018-11-13 13:34:39+00:00,Brunel University,2018-11-13 13:36:47+00:00,590,yes,Afternoon,bus,13.04,0.67,0.4,10.01,no,no,1.1333333333333333
3842,YX09FLB,Huxley Close,2018-11-13 16:41:57+00:00,Brunel University,2018-11-13 16:43:47+00:00,530,yes,Afternoon,bus,11.22,0.73,0.89,10.01,no,yes,0.8333333333333334
3854,YX09FLB,Uxbridge High School,2018-11-13 17:15:50+00:00,Brunel University,2018-11-13 17:17:43+00:00,590,no,Evening,bus,10.86,0.76,0.89,10.01,no,yes,0.8833333333333333
3756,SN09CGG,Uxbridge High School,2018-11-13 18:15:42+00:00,Brunel University,2018-11-13 18:17:30+00:00,590,yes,Evening,bus,10.81,0.81,0.89,10.01,no,yes,0.8
4825,YX58DUA,Uxbridge High School,2018-11-13 19:13:04+00:00,Brunel University,2018-11-13 19:14:50+00:00,590,no,Evening,bus,10.74,0.83,0.55,10.01,no,no,0.7666666666666667
831,LK08FLD,Huxley Close,2018-11-14 16:06:09+00:00,Brunel University,2018-11-14 16:08:07+00:00,530,yes,Afternoon,bus,12.61,0.73,0.67,10.01,no,yes,0.9666666666666667
1483,LK08FLZ,Uxbridge High School,2018-11-14 18:38:36+00:00,Brunel University,2018-11-14 18:39:52+00:00,590,yes,Evening,bus,10.07,0.88,0.24,10.01,no,no,0.26666666666666666
1534,LK08FMV,Uxbridge High School,2018-11-14 19:28:27+00:00,Brunel University,2018-11-14 19:30:26+00:00,590,no,Evening,bus,10.04,0.89,0.5,9.87,no,yes,0.9833333333333333
1567,LK08FMX,Uxbridge High School,2018-11-14 20:57:46+00:00,Brunel University,2018-11-14 20:59:20+00:00,590,no,Night,bus,9.58,0.93,0.33,7.87,no,yes,0.5666666666666667
1616,LK08FMX,Huxley Close,2018-11-14 22:14:10+00:00,Brunel University,2018-11-14 22:15:05+00:00,530,no,Night,bus,9.17,0.94,0.59,5.1,no,yes,-0.08333333333333333
1630,LK08FMX,Uxbridge High School,2018-11-14 22:35:10+00:00,Brunel University,2018-11-14 22:37:04+00:00,590,no,Night,bus,9.58,0.94,0.64,4.41,no,yes,0.9
2622,LK16DDY,Huxley Close,2018-11-14 23:24:36+00:00,Brunel University,2018-11-14 23:25:26+00:00,530,no,Night,bus,10.09,0.96,0.81,3.89,no,yes,-0.16666666666666666
2661,LK16DDY,Uxbridge High School,2018-11-14 23:57:20+00:00,Brunel University,2018-11-14 23:58:53+00:00,590,no,Night,bus,10.15,0.98,0.96,4.18,no,yes,0.55
3484,LK65EAP,Uxbridge High School,2018-11-15 10:20:54+00:00,Brunel University,2018-11-15 10:22:43+00:00,590,no,Morning,bus,13.26,0.88,0.87,9.53,no,yes,0.8166666666666667
1247,LK08FLE,St Laurence Church,2018-11-15 11:33:38+00:00,Brunel University,2018-11-15 11:35:47+00:00,685,no,Morning,bus,13.79,0.88,0.92,8.75,no,yes,1.15
3445,LK65EAP,Uxbridge High School,2018-11-15 12:20:58+00:00,Brunel University,2018-11-15 12:22:45+00:00,590,no,Afternoon,bus,13.91,0.88,0.95,8.26,no,yes,0.7833333333333333
3380,LK65EAM,Uxbridge High School,2018-11-15 15:36:48+00:00,Brunel University,2018-11-15 15:38:59+00:00,590,no,Afternoon,bus,13.91,0.88,0.7,8.42,no,yes,1.1833333333333333
3700,SN09CGF,St Laurence Church,2018-11-15 16:51:55+00:00,Brunel University,2018-11-15 16:54:32+00:00,685,yes,Afternoon,bus,13.12,0.92,0.89,8.03,no,yes,1.6166666666666667
3712,SN09CGF,Uxbridge High School,2018-11-15 17:28:31+00:00,Brunel University,2018-11-15 17:30:14+00:00,590,yes,Evening,bus,12.87,0.92,0.89,7.48,no,yes,0.7166666666666667
3942,YX10BFA,St Laurence Church,2018-11-15 18:30:39+00:00,Brunel University,2018-11-15 18:32:58+00:00,685,yes,Evening,bus,12.4,0.92,0.89,6.2,no,yes,1.3166666666666667
1955,LK09EKU,Uxbridge High School,2018-11-15 18:55:14+00:00,Brunel University,2018-11-15 18:55:28+00:00,590,yes,Evening,bus,12.11,0.93,0.87,5.57,no,yes,-0.7666666666666667
2085,LK16DDJ,Huxley Close,2018-11-15 21:51:35+00:00,Brunel University,2018-11-15 21:52:53+00:00,530,no,Night,bus,11.43,0.96,1.0,3.46,no,yes,0.3
1256,LK08FLF,Uxbridge High School,2018-11-16 12:35:06+00:00,Brunel University,2018-11-16 12:36:12+00:00,590,no,Afternoon,bus,10.36,0.97,0.96,4.92,no,yes,0.1
2114,LK16DDL,Huxley Close,2018-11-16 13:50:34+00:00,Brunel University,2018-11-16 13:52:03+00:00,530,no,Afternoon,bus,10.05,0.96,0.93,4.55,no,no,0.48333333333333334
2021,LK16DDJ,Huxley Close,2018-11-17 17:47:30+00:00,Brunel University,2018-11-17 17:48:36+00:00,530,no,Evening,bus,4.87,0.89,0.7,10.01,yes,yes,0.1
911,LK08FLD,Huxley Close,2018-11-17 19:31:27+00:00,Brunel University,2018-11-17 19:32:36+00:00,530,no,Evening,bus,11.9,0.94,0.84,7.54,yes,no,0.15
586,LK08FKV,Uxbridge High School,2018-11-17 19:57:30+00:00,Brunel University,2018-11-17 19:59:10+00:00,590,no,Evening,bus,9.36,0.82,0.54,10.01,yes,yes,0.6666666666666666
3060,LK16DFA,Huxley Close,2018-11-18 17:31:56+00:00,Brunel University,2018-11-18 17:32:58+00:00,530,no,Afternoon,bus,11.71,0.84,0.43,10.01,yes,yes,0.03333333333333333
3073,LK16DFA,Uxbridge High School,2018-11-18 18:15:06+00:00,Brunel University,2018-11-18 18:17:40+00:00,590,no,Afternoon,bus,10.8,0.83,0.46,10.01,yes,yes,1.5666666666666667
776,LK08FKW,Uxbridge High School,2018-11-18 18:35:30+00:00,Brunel University,2018-11-18 18:35:59+00:00,590,no,Evening,bus,8.47,0.91,0.83,8.14,yes,yes,-0.5166666666666667
4456,YX10BFM,Uxbridge High School,2018-11-18 18:51:45+00:00,Brunel University,2018-11-18 18:53:58+00:00,590,no,Evening,bus,10.73,0.89,0.7,10.01,yes,yes,1.2166666666666666
4556,YX10BFM,Uxbridge High School,2018-11-18 20:38:06+00:00,Brunel University,2018-11-18 20:39:45+00:00,590,no,Night,bus,7.75,0.92,0.89,10.01,yes,yes,0.65
4545,YX10BFM,Huxley Close,2018-11-18 21:52:25+00:00,Brunel University,2018-11-18 21:53:47+00:00,530,no,Night,bus,7.32,0.9,0.79,10.01,yes,yes,0.36666666666666664
