,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
1723,LK08FND,Apple Tree Avenue,2018-11-10 14:44:25+00:00,Violet Avenue,2018-11-10 14:47:24+00:00,960,no,Afternoon,bus,11.18,0.86,0.68,9.96,yes,yes,0.9833333333333333
1387,LK08FLG,Apple Tree Avenue,2018-11-10 15:31:58+00:00,Violet Avenue,2018-11-10 15:35:49+00:00,960,no,Afternoon,bus,10.53,0.9,0.72,10.01,yes,no,1.85
3127,LK16DFA,Apple Tree Avenue,2018-11-10 17:39:43+00:00,Violet Avenue,2018-11-10 17:43:12+00:00,960,no,Evening,bus,10.06,0.92,0.79,8.13,yes,yes,1.4833333333333334
2503,LK16DDU,Apple Tree Avenue,2018-11-10 18:45:41+00:00,Violet Avenue,2018-11-10 18:48:31+00:00,960,no,Evening,bus,9.97,0.93,0.75,8.51,yes,yes,0.8333333333333334
937,LK08FLD,Apple Tree Avenue,2018-11-10 20:07:20+00:00,Violet Avenue,2018-11-10 20:10:35+00:00,960,no,Evening,bus,9.98,0.93,0.62,9.08,yes,yes,1.25
1837,LK08FND,Apple Tree Avenue,2018-11-10 21:03:45+00:00,Violet Avenue,2018-11-10 21:06:49+00:00,960,no,Night,bus,9.99,0.94,0.74,9.5,yes,yes,1.0666666666666667
4176,YX10BFF,Colham Road,2018-11-10 22:01:06+00:00,Violet Avenue,2018-11-10 22:02:26+00:00,525,no,Night,bus,9.97,0.94,0.89,8.22,yes,no,-0.6666666666666666
4614,YX10BFM,Apple Tree Avenue,2018-11-10 23:25:53+00:00,Violet Avenue,2018-11-10 23:28:44+00:00,960,no,Night,bus,9.95,0.94,0.75,8.43,yes,yes,0.85
1877,LK08FND,Milburn Drive,2018-11-11 00:19:33+00:00,Violet Avenue,2018-11-11 00:22:56+00:00,1410,no,Night,bus,9.94,0.93,0.74,8.5,yes,yes,1.3833333333333333
846,LK08FLD,Milburn Drive,2018-11-11 13:26:18+00:00,Violet Avenue,2018-11-11 13:30:38+00:00,1410,no,Afternoon,bus,13.13,0.66,0.36,10.01,yes,no,2.3333333333333335
4251,YX10BFK,Apple Tree Avenue,2018-11-11 14:28:41+00:00,Violet Avenue,2018-11-11 14:31:40+00:00,960,no,Afternoon,bus,12.82,0.67,0.89,10.01,yes,yes,0.9833333333333333
1213,LK08FLE,Milburn Drive,2018-11-11 15:06:01+00:00,Violet Avenue,2018-11-11 15:10:34+00:00,1410,no,Afternoon,bus,12.66,0.68,0.22,10.01,yes,yes,2.55
2554,LK16DDX,Apple Tree Avenue,2018-11-11 16:10:48+00:00,Violet Avenue,2018-11-11 16:14:37+00:00,960,no,Afternoon,bus,11.6,0.74,0.19,10.01,yes,no,1.8166666666666667
1168,LK08FLE,Apple Tree Avenue,2018-11-11 17:05:17+00:00,Violet Avenue,2018-11-11 17:08:18+00:00,960,no,Afternoon,bus,10.67,0.78,0.19,10.01,yes,no,1.0166666666666666
1193,LK08FLE,Colham Road,2018-11-11 17:58:21+00:00,Violet Avenue,2018-11-11 18:00:00+00:00,525,no,Afternoon,bus,10.17,0.8,0.19,10.01,yes,no,-0.35
4299,YX10BFK,Colham Road,2018-11-11 19:21:55+00:00,Violet Avenue,2018-11-11 19:22:54+00:00,525,no,Evening,bus,9.47,0.81,0.89,10.01,yes,yes,-1.0166666666666666
1107,LK08FLD,Apple Tree Avenue,2018-11-11 20:59:12+00:00,Violet Avenue,2018-11-11 21:03:05+00:00,960,no,Night,bus,9.13,0.86,0.2,10.01,yes,no,1.8833333333333333
3301,LK65EAA,Apple Tree Avenue,2018-11-11 21:41:32+00:00,Violet Avenue,2018-11-11 21:44:12+00:00,960,no,Night,bus,9.17,0.87,0.34,10.01,yes,yes,0.6666666666666666
3968,YX10BFA,Apple Tree Avenue,2018-11-11 22:27:10+00:00,Violet Avenue,2018-11-11 22:29:59+00:00,960,no,Night,bus,9.23,0.89,0.89,10.01,yes,no,0.8166666666666667
3209,LK16DFC,Apple Tree Avenue,2018-11-12 09:13:58+00:00,Violet Avenue,2018-11-12 09:17:55+00:00,960,no,Morning,bus,10.65,0.93,0.38,10.01,no,no,1.95
3417,LK65EAM,Colham Road,2018-11-12 09:53:00+00:00,Violet Avenue,2018-11-12 09:54:47+00:00,525,no,Morning,bus,10.9,0.85,0.35,10.01,no,yes,-0.21666666666666667
