,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
3113,LK16DFA,Harmondsworth Lane,2018-11-10 17:22:00+00:00,Harmondsworth Road,2018-11-10 17:23:48+00:00,1075,no,Evening,bus,10.18,0.92,0.75,8.56,yes,yes,0.8
2489,LK16DDU,Harmondsworth Lane,2018-11-10 18:25:02+00:00,Harmondsworth Road,2018-11-10 18:27:20+00:00,1075,no,Evening,bus,10.06,0.92,0.78,8.11,yes,yes,1.3
923,LK08FLD,Harmondsworth Lane,2018-11-10 19:51:05+00:00,Harmondsworth Road,2018-11-10 19:53:17+00:00,1075,no,Evening,bus,10.01,0.93,0.61,8.98,yes,yes,1.2
1824,LK08FND,Harmondsworth Lane,2018-11-10 20:49:29+00:00,Harmondsworth Road,2018-11-10 20:51:38+00:00,1075,no,Night,bus,10.03,0.93,0.71,9.56,yes,yes,1.15
4189,YX10BFF,Berberis Walk,2018-11-10 22:14:00+00:00,Harmondsworth Road,2018-11-10 22:15:02+00:00,325,no,Night,bus,10.07,0.93,0.89,8.48,yes,yes,0.03333333333333333
4602,YX10BFM,Harmondsworth Lane,2018-11-10 23:11:57+00:00,Harmondsworth Road,2018-11-10 23:13:46+00:00,1075,no,Night,bus,10.01,0.93,0.75,8.84,yes,yes,0.8166666666666667
1864,LK08FND,Harmondsworth Lane,2018-11-11 00:07:14+00:00,Harmondsworth Road,2018-11-11 00:09:22+00:00,1075,no,Night,bus,9.99,0.93,0.75,8.1,yes,yes,1.1333333333333333
4237,YX10BFK,Harmondsworth Lane,2018-11-11 14:09:10+00:00,Harmondsworth Road,2018-11-11 14:11:36+00:00,1075,no,Afternoon,bus,12.84,0.68,0.89,10.01,yes,yes,1.4333333333333333
1201,LK08FLE,Harmondsworth Lane,2018-11-11 14:50:59+00:00,Harmondsworth Road,2018-11-11 14:53:01+00:00,1075,no,Afternoon,bus,12.86,0.67,0.25,10.01,yes,no,1.0333333333333334
2539,LK16DDX,Harmondsworth Lane,2018-11-11 15:50:18+00:00,Harmondsworth Road,2018-11-11 15:52:23+00:00,1075,no,Afternoon,bus,11.99,0.72,0.19,10.01,yes,no,1.0833333333333333
1155,LK08FLE,Harmondsworth Lane,2018-11-11 16:48:52+00:00,Harmondsworth Road,2018-11-11 16:50:53+00:00,1075,no,Afternoon,bus,10.94,0.77,0.19,10.01,yes,yes,1.0166666666666666
1095,LK08FLD,Harmondsworth Lane,2018-11-11 20:46:56+00:00,Harmondsworth Road,2018-11-11 20:48:35+00:00,1075,no,Night,bus,9.18,0.85,0.19,10.01,yes,yes,0.65
3288,LK65EAA,Harmondsworth Lane,2018-11-11 21:28:10+00:00,Harmondsworth Road,2018-11-11 21:29:35+00:00,1075,no,Night,bus,9.26,0.86,0.29,10.01,yes,no,0.4166666666666667
3955,YX10BFA,Harmondsworth Lane,2018-11-11 22:11:21+00:00,Harmondsworth Road,2018-11-11 22:13:25+00:00,1075,no,Night,bus,9.31,0.88,0.89,10.01,yes,yes,1.0666666666666667
1080,LK08FLD,Berberis Walk,2018-11-11 23:39:23+00:00,Harmondsworth Road,2018-11-11 23:39:50+00:00,325,no,Night,bus,9.79,0.89,0.63,10.01,yes,yes,-0.55
