,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
5553,435,Ruislip Manor Underground Station,2018-11-21 15:57:32+00:00,Eastcote Underground Station,2018-11-21 15:59:32+00:00,1140,no,Afternoon,tube,5.54,0.69,0.43,10.01,no,no,-3.0
255,447,Rayners Lane Underground Station,2018-11-22 14:18:56+00:00,Eastcote Underground Station,2018-11-22 14:20:55+00:00,1840,no,Afternoon,tube,5.58,0.88,0.84,4.18,no,no,-3.0166666666666666
265,447,Ruislip Manor Underground Station,2018-11-22 14:55:00+00:00,Eastcote Underground Station,2018-11-22 14:56:30+00:00,1140,no,Afternoon,tube,5.57,0.88,0.82,4.25,no,no,-3.5
5231,432,Rayners Lane Underground Station,2018-11-23 12:42:21+00:00,Eastcote Underground Station,2018-11-23 12:44:52+00:00,1840,no,Afternoon,tube,7.81,0.94,0.98,4.14,no,no,-2.4833333333333334
5105,432,Ruislip Manor Underground Station,2018-11-23 13:17:26+00:00,Eastcote Underground Station,2018-11-23 13:18:56+00:00,1140,no,Afternoon,tube,7.86,0.94,0.97,4.23,no,no,-3.5
5673,435,Rayners Lane Underground Station,2018-11-23 20:21:30+00:00,Eastcote Underground Station,2018-11-23 20:24:00+00:00,1840,no,Night,tube,7.49,0.92,0.78,4.55,no,no,-2.5
5683,435,Ruislip Manor Underground Station,2018-11-23 20:57:11+00:00,Eastcote Underground Station,2018-11-23 20:58:43+00:00,1140,no,Night,tube,7.66,0.93,0.85,4.91,no,no,-3.466666666666667
3190,431,Rayners Lane Underground Station,2018-11-24 12:33:46+00:00,Eastcote Underground Station,2018-11-24 12:35:47+00:00,1840,no,Afternoon,tube,8.73,0.86,0.87,7.66,yes,yes,-2.9833333333333334
5601,435,Rayners Lane Underground Station,2018-11-24 13:02:57+00:00,Eastcote Underground Station,2018-11-24 13:05:58+00:00,1840,no,Afternoon,tube,8.68,0.85,0.94,8.13,yes,yes,-1.9833333333333334
2331,431,Rayners Lane Underground Station,2018-11-24 17:03:46+00:00,Eastcote Underground Station,2018-11-24 17:06:47+00:00,1840,no,Evening,tube,7.79,0.83,0.87,9.46,yes,no,-1.9833333333333334
5834,436,Rayners Lane Underground Station,2018-11-24 22:09:57+00:00,Eastcote Underground Station,2018-11-24 22:11:59+00:00,1840,no,Night,tube,7.5,0.8,0.98,8.87,no,no,-2.966666666666667
