,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
1718,LK08FND,Ferrers Avenue,2018-11-10 14:34:19+00:00,West Drayton Station,2018-11-10 14:36:20+00:00,405,no,Afternoon,bus,11.68,0.84,0.67,9.93,yes,yes,0.016666666666666666
1382,LK08FLG,Ferrers Avenue,2018-11-10 15:24:25+00:00,West Drayton Station,2018-11-10 15:25:31+00:00,405,no,Afternoon,bus,10.6,0.89,0.71,10.01,yes,yes,-0.9
3122,LK16DFA,Ferrers Avenue,2018-11-10 17:32:40+00:00,West Drayton Station,2018-11-10 17:33:43+00:00,405,no,Evening,bus,10.13,0.92,0.78,8.34,yes,yes,-0.95
2498,LK16DDU,Ferrers Avenue,2018-11-10 18:34:52+00:00,West Drayton Station,2018-11-10 18:36:32+00:00,405,no,Evening,bus,10.03,0.93,0.77,8.35,yes,no,-0.3333333333333333
932,LK08FLD,Ferrers Avenue,2018-11-10 20:00:08+00:00,West Drayton Station,2018-11-10 20:01:07+00:00,405,no,Evening,bus,10.01,0.93,0.6,9.01,yes,no,-1.0166666666666666
1832,LK08FND,Ferrers Avenue,2018-11-10 20:58:18+00:00,West Drayton Station,2018-11-10 20:59:16+00:00,405,no,Night,bus,10.03,0.93,0.73,9.64,yes,no,-1.0333333333333334
4181,YX10BFF,Yiewsley High Street,2018-11-10 22:06:58+00:00,West Drayton Station,2018-11-10 22:08:21+00:00,420,no,Night,bus,10.07,0.93,0.89,8.35,yes,no,-0.6166666666666667
4609,YX10BFM,Ferrers Avenue,2018-11-10 23:19:35+00:00,West Drayton Station,2018-11-10 23:20:43+00:00,405,no,Night,bus,9.99,0.93,0.75,8.63,yes,yes,-0.8666666666666667
1873,LK08FND,Ferrers Avenue,2018-11-11 00:14:55+00:00,West Drayton Station,2018-11-11 00:16:30+00:00,405,no,Night,bus,9.98,0.93,0.74,8.32,yes,yes,-0.4166666666666667
842,LK08FLD,Ferrers Avenue,2018-11-11 13:18:08+00:00,West Drayton Station,2018-11-11 13:19:20+00:00,405,no,Afternoon,bus,13.28,0.66,0.34,10.01,yes,yes,-0.8
4246,YX10BFK,Ferrers Avenue,2018-11-11 14:21:07+00:00,West Drayton Station,2018-11-11 14:22:23+00:00,405,no,Afternoon,bus,12.84,0.67,0.89,10.01,yes,yes,-0.7333333333333333
1209,LK08FLE,Ferrers Avenue,2018-11-11 15:01:34+00:00,West Drayton Station,2018-11-11 15:02:58+00:00,405,no,Afternoon,bus,12.82,0.67,0.23,10.01,yes,yes,-0.6
