last_stop,lat,lon
1544018836,51.5223606,-0.1600283
1544019017,51.5239044,-0.1439641
1544019108,51.5256534,-0.1367174
1544019167,51.5302558,-0.1240631
1544019380,51.5202107,-0.1057568
1544019442,51.5208745,-0.0973156
1544019596,51.5182516,-0.0890625
1544019738,51.5178534,-0.0799749
1544019830,51.5142477,-0.0757186
1544020250,51.5178534,-0.0799749
1544020491,51.5182516,-0.0890625
1544020552,51.5208745,-0.0973156
1544020701,51.5202107,-0.1057568
1544020853,51.5302558,-0.1240631
1544021002,51.5256534,-0.1367174
1544021092,51.5239044,-0.1439641
1544021242,51.5223606,-0.1600283
1544021755,51.5462072,-0.1804186
1544022146,51.5635385,-0.2789145
1543859834,51.5202107,-0.1057568
1543860015,51.5302558,-0.1240631
1543860135,51.5256534,-0.1367174
1543860226,51.5239044,-0.1439641
1543860409,51.5223606,-0.1600283
1543860828,51.5462072,-0.1804186
1543861309,51.5635385,-0.2789145
1543861640,51.5790155,-0.3179358
1543861760,51.5792702,-0.3366561
1543861880,51.5795852,-0.3530692
1543862121,51.5755663,-0.3702198
1543862296,51.576688,-0.3975687
1543862423,51.5730085,-0.4130254
1543862511,51.57151475,-0.421363596
1543862661,51.5640163,-0.4436766
1543862782,51.5534111,-0.448444
1543758416,51.5462072,-0.1804186
1543758716,51.5223606,-0.1600283
1543758898,51.5239044,-0.1439641
1543759018,51.5256534,-0.1367174
1543759107,51.5302558,-0.1240631
1543759318,51.5202107,-0.1057568
1543759410,51.5208745,-0.0973156
1543759559,51.5182516,-0.0890625
1543759619,51.5178534,-0.0799749
1543759740,51.5142477,-0.0757186
1543760310,51.5178534,-0.0799749
1544007074,51.5202107,-0.1057568
1544007255,51.5302558,-0.1240631
1544007375,51.5256534,-0.1367174
1544007466,51.5239044,-0.1439641
1544007615,51.5223606,-0.1600283
1544007976,51.5462072,-0.1804186
1544008398,51.5635385,-0.2789145
1544008759,51.5790155,-0.3179358
1544008938,51.5792702,-0.3366561
1544009421,51.5755663,-0.3702198
1544009571,51.576688,-0.3975687
1544009721,51.5730085,-0.4130254
1544009782,51.57151475,-0.421363596
1544009933,51.5640163,-0.4436766
1544010053,51.5534111,-0.448444
1543662756,51.5635385,-0.2789145
1543663088,51.5790155,-0.3179358
1543663211,51.5792702,-0.3366561
1543663481,51.5795852,-0.3530692
1543663633,51.5755663,-0.3702198
1543663722,51.576688,-0.3975687
1543663874,51.5730085,-0.4130254
1543663993,51.57151475,-0.421363596
1543664086,51.5640163,-0.4436766
1543664207,51.5534111,-0.448444
1542806740,51.5256534,-0.1367174
1542806837,51.5239044,-0.1439641
1542807011,51.5223606,-0.1600283
1542807403,51.5462072,-0.1804186
1542807792,51.5635385,-0.2789145
1542808153,51.5790155,-0.3179358
1542808274,51.5792702,-0.3366561
1542808485,51.5795852,-0.3530692
1542808604,51.5755663,-0.3702198
1542808725,51.576688,-0.3975687
1542808876,51.5730085,-0.4130254
1542808967,51.57151475,-0.421363596
1542809086,51.5640163,-0.4436766
1542809208,51.5534111,-0.448444
1543856494,51.5543175,-0.250653366
1543856796,51.5462072,-0.1804186
1543857216,51.5223606,-0.1600283
1543857458,51.5239044,-0.1439641
1543857578,51.5256534,-0.1367174
1543857698,51.5302558,-0.1240631
1543857909,51.5202107,-0.1057568
1543857999,51.5208745,-0.0973156
1543858180,51.5182516,-0.0890625
1543858270,51.5178534,-0.0799749
1543858449,51.5142477,-0.0757186
1543858870,51.5178534,-0.0799749
1543859114,51.5182516,-0.0890625
1543859233,51.5208745,-0.0973156
1543859382,51.5202107,-0.1057568
1543859593,51.5302558,-0.1240631
1543859715,51.5256534,-0.1367174
1542889747,51.5543175,-0.250653366
1542890050,51.5462072,-0.1804186
1542890529,51.5223606,-0.1600283
1542890709,51.5239044,-0.1439641
1542890830,51.5256534,-0.1367174
1542890890,51.5302558,-0.1240631
1542891131,51.5202107,-0.1057568
1542891221,51.5208745,-0.0973156
1542891371,51.5182516,-0.0890625
1542891492,51.5178534,-0.0799749
1542891613,51.5142477,-0.0757186
1542892244,51.5178534,-0.0799749
1542578511,51.5790155,-0.3179358
1542578752,51.5792702,-0.3366561
1542578932,51.5795852,-0.3530692
1542579202,51.576688,-0.3975687
1542579324,51.5730085,-0.4130254
1543699687,51.5635385,-0.2789145
1543699969,51.5543175,-0.250653366
1543700237,51.5462072,-0.1804186
1543700631,51.5223606,-0.1600283
1543700751,51.5239044,-0.1439641
1543700874,51.5256534,-0.1367174
1543700991,51.5302558,-0.1240631
1543701235,51.5202107,-0.1057568
1543701325,51.5208745,-0.0973156
1543701446,51.5182516,-0.0890625
1543701538,51.5178534,-0.0799749
1543701659,51.5142477,-0.0757186
1543702202,51.5178534,-0.0799749
1543702326,51.5182516,-0.0890625
1543702387,51.5208745,-0.0973156
1544021515,51.5543175,-0.250653366
1544021785,51.5462072,-0.1804186
1544022176,51.5223606,-0.1600283
1544022297,51.5239044,-0.1439641
1544022448,51.5256534,-0.1367174
1544022539,51.5302558,-0.1240631
1544022749,51.5202107,-0.1057568
1544022839,51.5208745,-0.0973156
1544022960,51.5182516,-0.0890625
1544023049,51.5178534,-0.0799749
1544023200,51.5142477,-0.0757186
1544023742,51.5178534,-0.0799749
1544023892,51.5182516,-0.0890625
1544024104,51.5202107,-0.1057568
1544024313,51.5302558,-0.1240631
1544024436,51.5256534,-0.1367174
1544024525,51.5239044,-0.1439641
1544024707,51.5223606,-0.1600283
1543762300,51.5543175,-0.250653366
1543762571,51.5462072,-0.1804186
1543762930,51.5223606,-0.1600283
1543763082,51.5239044,-0.1439641
1543763202,51.5256534,-0.1367174
1543763292,51.5302558,-0.1240631
1543763503,51.5202107,-0.1057568
1543763533,51.5208745,-0.0973156
1543763713,51.5182516,-0.0890625
1543763834,51.5178534,-0.0799749
1542478159,51.5462072,-0.1804186
1542478552,51.5635385,-0.2789145
1542478911,51.5790155,-0.3179358
1542479032,51.5792702,-0.3366561
1542479213,51.5795852,-0.3530692
1542479392,51.5755663,-0.3702198
1542479543,51.576688,-0.3975687
1542479663,51.5730085,-0.4130254
1542479783,51.57151475,-0.421363596
1542479904,51.5640163,-0.4436766
1542479904,51.5640163,-0.4436766
1542479994,51.5534111,-0.448444
1543941234,51.5462072,-0.1804186
1543941597,51.5223606,-0.1600283
1543941806,51.5239044,-0.1439641
1543941896,51.5256534,-0.1367174
1543942017,51.5302558,-0.1240631
1543942257,51.5202107,-0.1057568
1543942348,51.5208745,-0.0973156
1543942468,51.5182516,-0.0890625
1543942649,51.5178534,-0.0799749
1543757213,51.5256534,-0.1367174
1543757333,51.5239044,-0.1439641
1543757483,51.5223606,-0.1600283
1543757874,51.5462072,-0.1804186
1543758265,51.5635385,-0.2789145
1543758627,51.5790155,-0.3179358
1543758717,51.5792702,-0.3366561
1543758897,51.5795852,-0.3530692
1543759018,51.5755663,-0.3702198
1543759167,51.576688,-0.3975687
1543759289,51.5730085,-0.4130254
1543759408,51.57151475,-0.421363596
1543759528,51.5640163,-0.4436766
1543759649,51.5534111,-0.448444
1543413223,51.5635385,-0.2789145
1543413554,51.5790155,-0.3179358
1543413672,51.5792702,-0.3366561
1543413764,51.5795852,-0.3530692
1543413915,51.5755663,-0.3702198
1543414036,51.576688,-0.3975687
1543414159,51.5730085,-0.4130254
1543414247,51.57151475,-0.421363596
1543414401,51.5640163,-0.4436766
1543414491,51.5534111,-0.448444
1542465306,51.5640163,-0.4436766
1542465426,51.57151475,-0.421363596
1542465486,51.5730085,-0.4130254
1542465576,51.576688,-0.3975687
1542465756,51.5755663,-0.3702198
1542465936,51.5795852,-0.3530692
1542466057,51.5792702,-0.3366561
1542466780,51.5635385,-0.2789145
1542466961,51.5543175,-0.250653366
1542467232,51.5462072,-0.1804186
1542467533,51.5223606,-0.1600283
1542468014,51.5239044,-0.1439641
1543679155,51.5182516,-0.0890625
1543679215,51.5208745,-0.0973156
1543679335,51.5202107,-0.1057568
1543679523,51.5302558,-0.1240631
1543679646,51.5256534,-0.1367174
1543679737,51.5239044,-0.1439641
1543679857,51.5223606,-0.1600283
1543680432,51.5462072,-0.1804186
1543680852,51.5635385,-0.2789145
1543681130,51.5790155,-0.3179358
1543681251,51.5792702,-0.3366561
1543681465,51.5795852,-0.3530692
1543681616,51.5755663,-0.3702198
1543681769,51.576688,-0.3975687
1543681888,51.5730085,-0.4130254
1543681985,51.57151475,-0.421363596
1543682138,51.5640163,-0.4436766
1543682256,51.5534111,-0.448444
1543931999,51.5635385,-0.2789145
1543932328,51.5790155,-0.3179358
1543932450,51.5792702,-0.3366561
1543932661,51.5795852,-0.3530692
1543932811,51.5755663,-0.3702198
1543932931,51.576688,-0.3975687
1543933052,51.5730085,-0.4130254
1543933172,51.57151475,-0.421363596
1543933292,51.5640163,-0.4436766
1543933414,51.5534111,-0.448444
1543933713,51.546927,-0.4788252
